FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
ubs.fid-4d3f006b_168d7d75ee6_-55d3,94474,Avelino Lopes/Pi - PI - UBS - Avelino Lopes - PI - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PI,AVELINO LOPES/PI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-43.949 -10.137)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d2,94475,Avelino Lopes/Pi - PI - UBS - Avelino Lopes - PI - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PI,AVELINO LOPES/PI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-43.949 -10.137)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d1,94475,Avelino Lopes/Pi - PI - UBS - Avelino Lopes - PI - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PI,AVELINO LOPES/PI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-43.949 -10.137)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d0,94476,Angatuba/Sp - SP - UBS - Angatuba - SP - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,SP,ANGATUBA/SP,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-48.413 -23.49)),0
ubs.fid-4d3f006b_168d7d75ee6_-55cf,94476,Angatuba/Sp - SP - UBS - Angatuba - SP - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,SP,ANGATUBA/SP,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-48.413 -23.49)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ce,94477,Capivari/Sp - SP - UBS - Capivari - SP - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,SP,CAPIVARI/SP,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-47.508 -22.995)),0
ubs.fid-4d3f006b_168d7d75ee6_-55cd,94477,Capivari/Sp - SP - UBS - Capivari - SP - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,SP,CAPIVARI/SP,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-47.508 -22.995)),0
ubs.fid-4d3f006b_168d7d75ee6_-55cc,94478,Nova Itarana/Ba - BA - UBS - Nova Itarana - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,NOVA ITARANA/BA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-40.069 -13.027)),0
ubs.fid-4d3f006b_168d7d75ee6_-55cb,94478,Nova Itarana/Ba - BA - UBS - Nova Itarana - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,NOVA ITARANA/BA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-40.069 -13.027)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ca,9594,Alagoinhas/Ba - BA - UBS - Alagoinhas - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ALAGOINHAS/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-38.419 -12.136)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c9,9595,Alcobaça/Ba - BA - UBS - Alcobaça - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ALCOBAÇA/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-39.196 -17.519)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c8,9602,Dias D'Ávila/Ba - BA - UBS - Dias D''Ávila - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,DIAS D'ÁVILA/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-38.297 -12.613)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c7,9604,Ilhéus/Ba - BA - UBS - Ilhéus - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ILHÉUS/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-39.049 -14.789)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c6,9605,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c5,9606,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c4,9607,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c3,9607,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c2,9608,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c1,9609,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55c0,9610,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55bf,9611,Juazeiro/Ba - BA - UBS - Juazeiro - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,JUAZEIRO/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-40.503 -9.414)),0
ubs.fid-4d3f006b_168d7d75ee6_-55be,9624,Guaiúba/Ce - CE - UBS - Guaiúba - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,GUAIÚBA/CE,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-38.637 -4.04)),0
ubs.fid-4d3f006b_168d7d75ee6_-55bd,9587,Porto Walter/Ac - AC - UBS - Porto Walter - AC - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,AC,PORTO WALTER/AC,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-72.744 -8.269)),0
ubs.fid-4d3f006b_168d7d75ee6_-55bc,9588,Olho D'Água Grande/Al - AL - UBS - Olho D''Água Grande - AL - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,AL,OLHO D'ÁGUA GRANDE/AL,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-36.817 -10.058)),0
ubs.fid-4d3f006b_168d7d75ee6_-55bb,9613,Morro do Chapéu/Ba - BA - UBS - Morro do Chapéu - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,MORRO DO CHAPÉU/BA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-41.156 -11.55)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ba,9616,Salvador/Ba - BA - UBS - Salvador - BA - UBS IV,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,SALVADOR/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-38.511 -12.971)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b9,9617,Salvador/Ba - BA - UBS - Salvador - BA - UBS III,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,SALVADOR/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-38.511 -12.971)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b8,9618,Sobradinho/Ba - BA - UBS - Sobradinho - BA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,SOBRADINHO/BA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-40.823 -9.455)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b7,9625,Ibaretama/Ce - CE - UBS - Ibaretama - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,IBARETAMA/CE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-38.753 -4.804)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b6,9626,Ibicuitinga/Ce - CE - UBS - Ibicuitinga - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,IBICUITINGA/CE,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-38.639 -4.974)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b5,9630,Morada Nova/Ce - CE - UBS - Morada Nova - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,MORADA NOVA/CE,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-38.373 -5.107)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b4,9633,Paracuru/Ce - CE - UBS - Paracuru - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,PARACURU/CE,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-39.031 -3.41)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b3,9635,Santa Quitéria/Ce - CE - UBS - Santa Quitéria - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,SANTA QUITÉRIA/CE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-40.157 -4.332)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b2,9636,Cachoeiro de Itapemirim/Es - ES - UBS - Cachoeiro de Itapemirim - ES - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,ES,CACHOEIRO DE ITAPEMIRIM/ES,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-41.113 -20.849)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b1,9647,Trindade/Go - GO - UBS - Trindade - GO - UBS II,Comunidade Cidadã,UBS,Ministério da Saúde,Município,GO,TRINDADE/GO,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-49.489 -16.649)),0
ubs.fid-4d3f006b_168d7d75ee6_-55b0,9649,Bequimão/Ma - MA - UBS - Bequimão - MA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MA,BEQUIMÃO/MA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-44.783 -2.449)),0
ubs.fid-4d3f006b_168d7d75ee6_-55af,9657,Codó/Ma - MA - UBS - Codó - MA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MA,CODÓ/MA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-43.886 -4.455)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ae,9778,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ad,9659,Governador Nunes Freire/Ma - MA - UBS - Governador Nunes Freire - MA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MA,GOVERNADOR NUNES FREIRE/MA,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-45.885 -2.126)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ac,9780,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55ab,9669,Frei Inocêncio/Mg - MG - UBS - Frei Inocêncio - MG - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MG,FREI INOCÊNCIO/MG,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-41.922 -18.545)),0
ubs.fid-4d3f006b_168d7d75ee6_-55aa,9670,Governador Valadares/Mg - MG - UBS - Governador Valadares - MG - UBS II,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MG,GOVERNADOR VALADARES/MG,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-41.949 -18.851)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a9,9672,Pedra Azul/Mg - MG - UBS - Pedra Azul - MG - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MG,PEDRA AZUL/MG,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-41.297 -16.005)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a8,9673,Ponte Nova/Mg - MG - UBS - Ponte Nova - MG - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MG,PONTE NOVA/MG,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-42.909 -20.416)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a7,9782,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a6,9679,Alta Floresta/Mt - MT - UBS - Alta Floresta - MT - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MT,ALTA FLORESTA/MT,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-56.086 -9.876)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a5,9754,Nova Iguaçu/Rj - RJ - UBS - Nova Iguaçu - RJ - UBS III,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,NOVA IGUAÇU/RJ,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-43.451 -22.759)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a4,9684,Cumaru do Norte/Pa - PA - UBS - Cumaru do Norte - PA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PA,CUMARU DO NORTE/PA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-50.773 -7.825)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a3,9697,São José de Piranhas/Pb - PB - UBS - São José de Piranhas - PB - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PB,SÃO JOSÉ DE PIRANHAS/PB,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-38.502 -7.121)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a2,9691,Trairão/Pa - PA - UBS - Trairão - PA - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PA,TRAIRÃO/PA,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-55.944 -4.574)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a1,9692,Areia/Pb - PB - UBS - Areia - PB - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PB,AREIA/PB,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-35.692 -6.963)),0
ubs.fid-4d3f006b_168d7d75ee6_-55a0,9696,Nova Palmeira/Pb - PB - UBS - Nova Palmeira - PB - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PB,NOVA PALMEIRA/PB,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-36.421 -6.678)),0
ubs.fid-4d3f006b_168d7d75ee6_-559f,9701,Caetés/Pe - PE - UBS - Caetés - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,CAETÉS/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-36.623 -8.773)),0
ubs.fid-4d3f006b_168d7d75ee6_-559e,9702,Canhotinho/Pe - PE - UBS - Canhotinho - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,CANHOTINHO/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-36.191 -8.882)),0
ubs.fid-4d3f006b_168d7d75ee6_-559d,9705,Garanhuns/Pe - PE - UBS - Garanhuns - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,GARANHUNS/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-36.493 -8.89)),0
ubs.fid-4d3f006b_168d7d75ee6_-559c,9707,Jaboatão dos Guararapes/Pe - PE - UBS - Jaboatão dos  Guararapes - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,JABOATÃO DOS GUARARAPES/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-35.015 -8.113)),0
ubs.fid-4d3f006b_168d7d75ee6_-559b,9772,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-559a,9709,Jucati/Pe - PE - UBS - Jucati - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,JUCATI/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-36.489 -8.706)),0
ubs.fid-4d3f006b_168d7d75ee6_-5599,9710,Ouricuri/Pe - PE - UBS - Ouricuri - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,OURICURI/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-40.082 -7.883)),0
ubs.fid-4d3f006b_168d7d75ee6_-5598,9711,Paulista/Pe - PE - UBS - Paulista - PE - UBS II,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,PAULISTA/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-34.873 -7.941)),0
ubs.fid-4d3f006b_168d7d75ee6_-5597,9713,Paulista/Pe - PE - UBS - Paulista - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,PAULISTA/PE,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-34.873 -7.941)),0
